sample	population	cyp2d6_sv_class	longread
HG00276	FIN	deletion	no
HG00421	CHS	duplication	no
HG00436	CHS	duplication	no
HG00463	CHB	tandem_36_hom	no
HG00731	PUR	hybrid_68	yes
HG01190	PUR	hybrid_68_deletion	yes
HG02373	ACB	tandem_36	no
HG03225	ESN	deletion	no
HG03246	ESN	deletion	no
HG03259	ESN	deletion	no
NA07000	CEU	snp_reference	no
NA10831	CEU	deletion	no
NA11832	CEU	hybrid_68	no
NA12154	CEU	hybrid_68	no
NA12873	CEU	deletion	no
NA12878	CEU	hybrid_68	yes
NA12892	CEU	snp_reference	no
NA18519	YRI	adversarial	no
NA18526	CHB	tandem_36	no
NA18545	CHB	tandem_36_hom	no
NA18563	CHB	tandem_36	no
NA18564	CHB	tandem_36	no
NA18565	CHB	tandem_36	no
NA18572	CHB	tandem_36	no
NA18617	CHB	tandem_36_hom	no
NA18632	CHB	tandem_36	no
NA18642	CHB	tandem_36	no
NA18855	YRI	deletion	no
NA18861	YRI	deletion	no
NA18868	YRI	deletion	no
NA18945	JPT	deletion	no
NA18959	JPT	tandem_36	no
NA18980	JPT	tandem_36	no
NA18992	JPT	deletion	no
NA19035	YRI	deletion	no
NA19109	YRI	duplication	no
NA19122	YRI	snp_reference	no
NA19143	ASW	snp_reference	no
NA19207	ASW	duplication	no
NA19226	ASW	duplication	no
NA19238	YRI	snp_reference	no
NA19239	YRI	snp_reference	no
NA19317	LWK	homozygous_deletion	no
NA19785	MXL	hybrid_13	no
NA19819	ASW	duplication	no
NA19920	ASW	duplication	no
